127.0.0.1 - - [25/Mar/2018:14:27:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:28:11 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8961
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:28:12 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:28:12 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:28:12 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:28:12 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:28:12 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:28:12 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:28:12 +0530] "GET /Ecommerce/resources/images/saree1.jpg HTTP/1.1" 200 148745
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:28:12 +0530] "GET /Ecommerce/resources/images/shirt.jpg HTTP/1.1" 200 163769
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:28:13 +0530] "GET /Ecommerce/resources/images/kurtis.jpg HTTP/1.1" 200 44671
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:29:58 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8961
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:29:59 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:29:59 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:29:59 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:29:59 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:29:59 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:29:59 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:02 +0530] "GET /Ecommerce/resources/images/saree1.jpg HTTP/1.1" 200 148745
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:02 +0530] "GET /Ecommerce/resources/images/kurtis.jpg HTTP/1.1" 200 44671
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:02 +0530] "GET /Ecommerce/resources/images/shirt.jpg HTTP/1.1" 200 163769
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:04 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:15 +0530] "GET /Ecommerce/admin/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:15 +0530] "GET /Ecommerce/login HTTP/1.1" 200 10776
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:15 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:15 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:15 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:15 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:15 +0530] "GET /Ecommerce/resources/css/loginpage.css HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:15 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:15 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:15 +0530] "GET /Ecommerce/resources/images/log.jpg HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:15 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:33 +0530] "POST /Ecommerce/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:34 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8780
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:34 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:34 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:34 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:34 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:34 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:34 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:34 +0530] "GET /Ecommerce/resources/images/saree1.jpg HTTP/1.1" 200 148745
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:35 +0530] "GET /Ecommerce/resources/images/kurtis.jpg HTTP/1.1" 200 44671
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:35 +0530] "GET /Ecommerce/resources/images/shirt.jpg HTTP/1.1" 200 163769
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:30:35 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:37 +0530] "GET /Ecommerce/admin/add1 HTTP/1.1" 200 5688
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:37 +0530] "GET /Ecommerce/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:37 +0530] "GET /Ecommerce/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:37 +0530] "GET /Ecommerce/admin/resources/css/datatables.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:37 +0530] "GET /Ecommerce/admin/resources/css/datatables.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:37 +0530] "GET /Ecommerce/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:37 +0530] "GET /Ecommerce/admin/resources/css/ss.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:38 +0530] "GET /Ecommerce/admin/resources/css/ss.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:38 +0530] "GET /Ecommerce/admin/resources/css/datatables.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:38 +0530] "GET /Ecommerce/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:38 +0530] "GET /Ecommerce/admin/resources/css/datatables.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:38 +0530] "GET /Ecommerce/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:38 +0530] "GET /Ecommerce/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:43 +0530] "GET /Ecommerce/admin/add HTTP/1.1" 200 10857
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/css/datatables.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/css/datatables.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/css/ss.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/css/ss.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/css/datatables.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/css/datatables.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:32:44 +0530] "GET /Ecommerce/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:34:14 +0530] "GET /Ecommerce/admin/add1 HTTP/1.1" 200 5688
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:34:15 +0530] "GET /Ecommerce/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:34:15 +0530] "GET /Ecommerce/admin/resources/css/ss.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:34:15 +0530] "GET /Ecommerce/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [25/Mar/2018:14:34:15 +0530] "GET /Ecommerce/admin/resources/css/datatables.css HTTP/1.1" 404 1082
