127.0.0.1 - - [13/Mar/2018:09:26:30 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:02 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:03 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:03 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:03 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:03 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:03 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:03 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:03 +0530] "GET /Ecommerce/resources/images/saree1.jpg HTTP/1.1" 200 148745
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:03 +0530] "GET /Ecommerce/resources/images/kurtis.jpg HTTP/1.1" 200 44671
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:03 +0530] "GET /Ecommerce/resources/images/shirt.jpg HTTP/1.1" 200 163769
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:31 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:31 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:32 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:32 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:32 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:32 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:32 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:33 +0530] "GET /Ecommerce/resources/images/kurtis.jpg HTTP/1.1" 200 44671
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:33 +0530] "GET /Ecommerce/resources/images/saree1.jpg HTTP/1.1" 200 148745
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:33 +0530] "GET /Ecommerce/resources/images/shirt.jpg HTTP/1.1" 200 163769
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:35 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:27:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:34:50 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:34:50 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:34:50 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:34:50 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:34:50 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:34:50 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:34:50 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:34:51 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:34:51 +0530] "GET /Ecommerce/resources/images/kurtis.jpg HTTP/1.1" 200 44671
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:34:51 +0530] "GET /Ecommerce/resources/images/saree1.jpg HTTP/1.1" 200 148745
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:34:51 +0530] "GET /Ecommerce/resources/images/shirt.jpg HTTP/1.1" 200 163769
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:35:36 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:35:37 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:35:37 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:35:37 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:35:37 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:35:37 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:35:37 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:35:38 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:35:38 +0530] "GET /Ecommerce/resources/images/kurtis.jpg HTTP/1.1" 200 44671
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:35:39 +0530] "GET /Ecommerce/resources/images/saree1.jpg HTTP/1.1" 200 148745
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:35:39 +0530] "GET /Ecommerce/resources/images/shirt.jpg HTTP/1.1" 200 163769
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:38 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8768
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:38 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:38 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:38 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:38 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:38 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:38 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:39 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:39 +0530] "GET /Ecommerce/resources/images/kurtis.jpg HTTP/1.1" 200 44671
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:39 +0530] "GET /Ecommerce/resources/images/saree1.jpg HTTP/1.1" 200 148745
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:39 +0530] "GET /Ecommerce/resources/images/shirt.jpg HTTP/1.1" 200 163769
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:58 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8768
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:58 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:58 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:58 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:58 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:58 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:58 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:59 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:59 +0530] "GET /Ecommerce/resources/images/kurtis.jpg HTTP/1.1" 200 44671
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:59 +0530] "GET /Ecommerce/resources/images/shirt.jpg HTTP/1.1" 200 163769
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:36:59 +0530] "GET /Ecommerce/resources/images/saree1.jpg HTTP/1.1" 200 148745
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:37:29 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8768
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:37:30 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:37:30 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:37:30 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:37:30 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:37:30 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:37:30 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:37:30 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:37:30 +0530] "GET /Ecommerce/resources/images/shirt.jpg HTTP/1.1" 200 163769
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:37:31 +0530] "GET /Ecommerce/resources/images/kurtis.jpg HTTP/1.1" 200 44671
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:37:31 +0530] "GET /Ecommerce/resources/images/saree1.jpg HTTP/1.1" 200 148745
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:42:13 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8760
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:42:14 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [13/Mar/2018:09:42:14 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
